Date,gold,oil,tsx,vix
2012-12-10,1690.18,84.4847,12230.47,16.11
2012-12-11,1684.45,84.6426,12282.36,15.14
2012-12-12,1690.23,85.3923,12353.09,15.16
2012-12-13,1669.88,84.9853,12289.17,15.31
2012-12-14,1671.89,85.64299999999999,12296.72,15.02
2012-12-17,1669.29,85.9665,12281.35,16.16
2012-12-18,1645.96,87.2214,12334.34,15.51
2012-12-19,1646.74,88.6454,12403.63,15.54
2012-12-20,1624.11,88.9443,12388.71,15.37
2012-12-21,1648.06,88.3184,12385.7,14.0
2012-12-24,1647.23,88.1548,12370.8,14.35
2012-12-27,1654.16,90.9037,12373.77,15.56
2012-12-28,1649.46,90.4211,12316.12,16.98
2012-12-31,1663.49,90.9218,12433.53,15.15
2013-01-02,1663.45,91.40899999999999,12540.77,13.02
2013-01-03,1653.53,91.681,12470.44,14.31
2013-01-04,1626.47,91.9105,12540.81,13.71
2013-01-07,1622.46,91.9594,12499.55,13.39
2013-01-08,1639.37,91.92399999999999,12504.81,13.08
2013-01-09,1633.89,92.0401,12522.24,12.53
2013-01-10,1650.89,92.5,12599.74,12.47
2013-01-11,1633.54,92.5,12602.18,12.38
2013-01-14,1641.97,92.59899999999999,12603.09,12.94
2013-01-15,1657.22,91.9466,12641.97,12.39
2013-01-16,1659.3,92.809,12608.82,12.62
2013-01-17,1666.24,93.8484,12674.73,12.58
2013-01-18,1673.55,95.0258,12725.69,12.41
2013-01-22,1679.37,95.9946,12824.63,11.75
2013-01-23,1684.62,95.4702,12794.05,11.63
2013-01-24,1673.52,96.2052,12823.62,11.31
2013-01-25,1666.73,96.5917,12816.63,12.04
2013-01-28,1663.38,97.1212,12815.91,12.71
2013-01-29,1663.86,97.5075,12830.56,12.53
2013-01-30,1682.42,98.2432,12794.44,13.55
2013-01-31,1656.29,97.3589,12685.24,14.04
2013-02-01,1664.9,97.2574,12768.83,13.16
2013-02-04,1672.46,95.7898,12717.62,14.09
2013-02-05,1665.41,96.2268,12745.65,13.7
2013-02-06,1670.68,96.43,12761.59,13.33
2013-02-07,1666.57,95.6231,12755.92,13.05
2013-02-08,1670.85,96.0098,12801.23,12.37
2013-02-11,1655.15,97.4625,12748.15,13.42
2013-02-12,1653.16,97.7669,12789.02,12.07
2013-02-13,1646.83,97.302,12775.28,12.22
2013-02-14,1636.66,97.4487,12721.79,12.86
2013-02-15,1619.65,96.5892,12686.63,11.83
2013-02-19,1622.42,98.2298,12810.21,11.92
2013-02-20,1604.07,96.2464,12714.05,12.45
2013-02-21,1607.62,94.6992,12639.97,13.37
2013-02-22,1605.64,95.353,12701.63,12.57
2013-02-25,1628.71,94.46700000000001,12650.87,15.35
2013-02-26,1657.3,95.1504,12660.44,14.35
2013-02-27,1631.92,95.1947,12732.39,13.19
2013-02-28,1625.66,94.70100000000001,12821.83,13.82
2013-03-01,1614.19,93.3565,12773.12,13.42
2013-03-04,1616.06,92.6995,12707.41,13.48
2013-03-05,1618.96,93.2543,12736.04,13.74
2013-03-06,1624.14,93.399,12831.96,13.33
2013-03-07,1621.17,94.1483,12826.52,13.33
2013-03-08,1623.02,94.4873,12835.61,12.7
2013-03-11,1618.59,94.5347,12858.49,14.77
2013-03-12,1632.64,95.0491,12878.58,13.11
2013-03-13,1633.21,94.8849,12744.11,14.46
2013-03-14,1626.05,95.339,12799.91,15.4
2013-03-15,1623.67,95.3559,12830.03,13.08
2013-03-18,1639.52,95.91799999999999,12781.76,13.24
2013-03-19,1654.65,95.0407,12773.87,13.2
2013-03-20,1648.72,95.6694,12826.55,11.89
2013-03-21,1653.65,94.8936,12747.87,12.8
2013-03-22,1643.0,96.0496,12757.35,12.32
2013-03-25,1639.02,96.7637,12680.71,12.8
2013-03-26,1621.91,97.7533,12706.38,11.95
2013-03-27,1632.15,98.2377,12699.65,12.04
2013-03-28,1621.23,98.7466,12749.9,11.71
2013-04-01,1626.68,98.491,12695.14,12.8
2013-04-02,1598.27,98.204,12682.1,12.28
2013-04-03,1575.33,95.9152,12422.12,15.04
2013-04-04,1571.76,94.6168,12363.05,15.68
2013-04-05,1603.46,94.6518,12331.85,15.31
2013-04-08,1597.89,94.9863,12344.56,15.17
2013-04-09,1611.99,95.4808,12484.05,14.09
2013-04-10,1580.27,95.8544,12534.91,13.6
2013-04-11,1581.22,94.4162,12481.37,15.45
2013-04-12,1520.92,92.0944,12337.59,16.45
2013-04-15,1394.34,89.2346,12004.88,18.85
2013-04-16,1416.4,90.8699,12119.92,17.63
2013-04-17,1418.51,88.63799999999999,11947.29,19.82
2013-04-18,1427.99,90.866,11996.34,19.84
2013-04-19,1432.69,90.5754,12065.55,16.09
2013-04-22,1457.29,91.5891,12090.68,15.72
2013-04-23,1444.87,91.8542,12090.94,15.51
2013-04-24,1459.9,93.9223,12270.43,13.47
2013-04-25,1490.72,95.1279,12329.51,13.57
2013-04-26,1478.14,94.3911,12220.2,14.94
2013-04-29,1483.87,95.5167,12312.67,13.83
2013-04-30,1482.88,93.7876,12456.5,13.65
2013-05-01,1458.4,91.6842,12321.29,14.45
2013-05-02,1482.82,94.8516,12379.64,15.1
2013-05-03,1476.11,96.2471,12438.03,14.77
2013-05-06,1478.15,96.4253,12453.92,15.07
2013-05-07,1455.26,95.9081,12464.11,14.68
2013-05-08,1478.34,96.6596,12585.05,13.94
